nome,url,imagem,formato,categoria,acabamento,relevo,classe_ad,variacao_tonalidade,n_faces,espessura,junta,m2_caixa,pecas_caixa
Luxor Lux,https://www.biancogres.com.br/produto/luxor-lux/,https://www.biancogres.com.br/wp-content/uploads/2018/09/porcelanato_biancogres_luxor_lux_60x60-1.jpg,60x60,Porcelanato Esmaltado,Sim,Brilhante,Não,LC,1,V3,6,8.8,"1,5"
Manarola,https://www.biancogres.com.br/produto/manarola/,https://www.biancogres.com.br/wp-content/uploads/2019/10/MANAROLA-LINHA-VITA-e1570824069479-1024x157.jpg,"18,7x122,7",Vinílico,Sim,Acetinado,Não,LC,-,V2,-,2,JUNTA SECA
Long Deck Line Castano,https://www.biancogres.com.br/produto/long-deck-castano/,https://www.biancogres.com.br/wp-content/uploads/2019/03/PORCELANATO_LONG_DECK_LINE_CASTANO-1024x251.jpg,26x106,Porcelanato Esmaltado,Sim,Acetinado,Sim,LD,4,V4,12,"7,44","1,5"
Long Deck Line Maso,https://www.biancogres.com.br/produto/long-deck-maso/,https://www.biancogres.com.br/wp-content/uploads/2019/03/LONG-DECK-LINE-MASO-1024x251.jpg,26x106,Porcelanato Esmaltado,Sim,Acetinado,Sim,LD,4,V4,18,"7,44","1,5"
Liverpool,https://www.biancogres.com.br/produto/liverpool/,https://www.biancogres.com.br/wp-content/uploads/2019/03/02-Liverpool-Final.jpg,26x106,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,2,V3,14,"7,44","1,5"
Lipica Sabbia,https://www.biancogres.com.br/produto/lipica-sabbia-ad4/,https://www.biancogres.com.br/wp-content/uploads/2019/08/PORCELANATO-BIANCOGRES-LIPICA-SABBIA-60X60.png-1024x1024.jpg,60x60,Porcelanato Esmaltado,Sim,Rústico,Sim,LD,4,V2,4,8.8,1.5
Liguria,https://www.biancogres.com.br/produto/liguria/,https://www.biancogres.com.br/wp-content/uploads/2019/10/LIGURIA-LINHA-MASSIMA-SITE-1024x197.jpg,"23,8x152",Vinílico,Sim,Acetinado,Não,LD,-,V2,-,3,JUNTA SECA
Illuminato Beige Lux,https://www.biancogres.com.br/produto/llluminato-beige/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_ILLUMINATO_BEIGE_90X90-STE-1024x1024.jpg,82x82,Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,9,8,1.5
Lipica Bianco,https://www.biancogres.com.br/produto/lipica-bianco/,https://www.biancogres.com.br/wp-content/uploads/2019/08/PORCELANATO_BIANCOGRES_LIPICA_BIANCO_FLAT_63X63.jpg,60x60,Porcelanato Esmaltado,Sim,Rústico,Sim,LD,4,V2,Lenço,8.8,1.5
Marmo Calacata Bianco,https://www.biancogres.com.br/produto/marmo-calacata-bianco/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_MARMO_CALACATA_BIANCO_527x105-SITE.jpg,"52,7x105",Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,13,8,1.5
Máximus Fendi,https://www.biancogres.com.br/produto/maximus-fendi/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_MAXIMUSFENDI_MILANOCOLORE_45X90.jpg,45x90,Monoporosa,Sim,Acetinado,Não,LA,-,V1,1,10.5,"1,5"
Matelasse Black,https://www.biancogres.com.br/produto/matelasse-black/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_MATELASSE_BLACK_53X106_SITE-1024x1024.jpg,53x106,Porcelanato Esmaltado,Sim,Acetinado,Sim,LA,,V1,1,8,1.5
Marmo Nero,https://www.biancogres.com.br/produto/marmo-nero/,https://www.biancogres.com.br/wp-content/uploads/2019/10/04-Citta-Marmo-Nero-Final-site-1024x768.jpg,90x90,Vinílico,Sim,Acetinado,Não,LD,-,V2,-,3,JUNTA SECA
Marmo Grigio Oro Lux,https://www.biancogres.com.br/produto/marmo-grigio-oro/,https://www.biancogres.com.br/wp-content/uploads/2019/08/BIANCOGRES_AMB10_MarmoGrigioOro_HD-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,8,8,1.5
Matelasse Bianco,https://www.biancogres.com.br/produto/matelasse-bianco/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_MATELASSE_BIANCO_53X106_SITE-1024x1024.jpg,53x106,Porcelanato Esmaltado,Sim,Acetinado,Sim,LA,-,V1,1,8,1.5
Máximus Bianco,https://www.biancogres.com.br/produto/maximus-bianco/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_MAXIMUSBIANCO_MILANOBIANCO_45X90.jpg,45x90,Monoporosa,Sim,Acetinado,Não,LA,-,V1,1,10.5,"1,5"
Marmo Lux,https://www.biancogres.com.br/produto/marmo-lux/,https://www.biancogres.com.br/wp-content/uploads/2018/09/MARMO_LUX_3_AC1.jpg,60x60,Supergres,Não,Brilhante,Não,LC,1,V3,7,8.1,3
Marmo Calacata Satin,https://www.biancogres.com.br/produto/marmo-calacata-satin/,https://www.biancogres.com.br/wp-content/uploads/2019/03/F02_MARMO_CALACATA-SATIN.jpg,53x106,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,2,V3,13,8,"1,5"
Marmo Egeu Satin,https://www.biancogres.com.br/produto/marmo-egeu-satin/,https://www.biancogres.com.br/wp-content/uploads/2019/08/BIANCOGRES_AMB13_MarmoEgeu_20190924-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,2,V3,8,8,1.5
Marmo Egeu Beige Satin,https://www.biancogres.com.br/produto/marmo-egeu-beige-satin/,https://www.biancogres.com.br/wp-content/uploads/2019/08/BIANCOGRES_AMB13_MarmoEgeu_20190924-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,2,V3,8,9,1.5
Marmo Egeu Tre-di,https://www.biancogres.com.br/produto/marmo-egeu-tre-di/,https://www.biancogres.com.br/wp-content/uploads/2018/09/marmo_egeu_tredi.jpg,30X30,Porcelanato Esmaltado,Sim,Polido,Sim,LA,-,V3,1,10,JUNTA SECA
Marmo di Ferro,https://www.biancogres.com.br/produto/marmo-di-ferro/,https://www.biancogres.com.br/wp-content/uploads/2019/03/AMBIENTE14_MARMOFERRO_HD_20190219.jpg,"52,7x105",Porcelanato Esmaltado,Sim,Lapado,Não,LD,2,V4,6,8,"1,5"
Marmo Egeu Beige Lux,https://www.biancogres.com.br/produto/marmo-egeu-beige/,https://www.biancogres.com.br/wp-content/uploads/2020/03/PORCELANATO_MARMO_EGEU_BEIGE_90X90.jpg,90x90,Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,8,9,1.5
Marmo Egeu Lux,https://www.biancogres.com.br/produto/marmo-egeu-2/,https://www.biancogres.com.br/wp-content/uploads/2019/08/AMBIENTE_BIANCOGRES_MARMO_EGEU_82X82-SITE-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,8,8,1.5
Montreal,https://www.biancogres.com.br/produto/montreal/,https://www.biancogres.com.br/wp-content/uploads/2018/09/biancogres_supergres_montreal_60x60.jpg,60x60,Supergres,Não,Acetinado,Não,LD,2,V3,5,8.1,3
Marmo di Gre Lux,https://www.biancogres.com.br/produto/marmo-di-gre/,https://www.biancogres.com.br/wp-content/uploads/2019/03/AMBIENTE02_MARMODIGRE120X120_20190222_HD.jpg,120x120,Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V4,6,12,2
Monterosso,https://www.biancogres.com.br/produto/monterosso/,https://www.biancogres.com.br/wp-content/uploads/2019/10/MONTEROSSO-LINHA-NUOVA-SITE-1024x128.jpg,18x122,Vinílico,Sim,Acetinado,Não,LC,-,V2,-,5,JUNTA SECA
Milano Bianco,https://www.biancogres.com.br/produto/milano-bianco/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_MAXIMUSBIANCO_MILANOBIANCO_45X90-2.jpg,45x90,Monoporosa,Sim,Acetinado,Sim,LA,-,V1,1,10.5,"1,5"
Milano Colore,https://www.biancogres.com.br/produto/milano-colore/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_MAXIMUSFENDI_MILANOCOLORE_45X90-1.jpg,45x90,Monoporosa,Sim,Acetinado,Sim,LA,-,V2,4,10.5,"1,5"
Milano Cemento,https://www.biancogres.com.br/produto/milano-cemento/,https://www.biancogres.com.br/wp-content/uploads/2020/02/MONOPOROSA_MILANO_CEMENTO_45X90.jpg,45x90,Monoporosa,Sim,Acetinado,Sim,LA,-,V2,4,10.5,"1,5"
Montalcino,https://www.biancogres.com.br/produto/montalcino/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_MONTALCINO_53X105_SITE.jpg,"52,7x105",Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V4,8,8,1.5
Metropoli Grigio Lapado,https://www.biancogres.com.br/produto/metropoli-grigio-lapado/,https://www.biancogres.com.br/wp-content/uploads/2019/08/AMBIENTE_BIANCOGRES_METROPOLI_GRIGIO_LAPADO_90X90-SITE-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Lapado,Não,LE,2,V2,10,8,1.5
Metropoli Grigio,https://www.biancogres.com.br/produto/metropoli-grigio/,https://www.biancogres.com.br/wp-content/uploads/2019/08/PORCELANATO-BIANCOGRES-METROPOLE-GRIGIO-90X90-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Acetinado,Não,LE,2,V2,10,8,1.5
Metropoli Beige,https://www.biancogres.com.br/produto/metropoli-beige/,https://www.biancogres.com.br/wp-content/uploads/2019/08/AMBIENTE_BIANCOGRES_METROPOLI_BEIGE_METROPOLI_DECO_90X90-SITE-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Acetinado,Não,LE,2,V2,10,8,1.5
Metropoli Naturale,https://www.biancogres.com.br/produto/metropoli-naturale/,https://www.biancogres.com.br/wp-content/uploads/2019/08/Metropole_Naturale_lenco-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Acetinado,Não,LE,2,V2,10,8,1.5
Metropoli Grigio AD4,https://www.biancogres.com.br/produto/metropoli-grigio-ad4/,https://www.biancogres.com.br/wp-content/uploads/2019/08/AMBIENTE_BIANCOGRES_METROPOLI_GRIGIO_AD4_METROPOLI_DECO_90X90-SITE-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Acetinado,Não,LE,4,V2,10,8,1.5
Metropoli Deco,https://www.biancogres.com.br/produto/metropoli-deco/,https://www.biancogres.com.br/wp-content/uploads/2019/08/METROPOLI-SITE-2-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Acetinado,Não,LE,2,V2,6,8,1.5
Máximus Nude,https://www.biancogres.com.br/produto/maximus-nude/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_QUANTUM_CARRARA_E_MAXIMUS_NUDE45X90_ALTA-1024x432.jpg,45x90,Monoporosa,Sim,Acetinado,Não,LA,-,V1,1,10.5,"1,5"
Metallo⠀⠀,https://www.biancogres.com.br/produto/metallo-2/,https://www.biancogres.com.br/wp-content/uploads/2019/10/METALLO-LINHA-CITTA-SITE-1024x1024.jpg,90x90,Vinílico,Sim,Acetinado,Não,LD,-,V2,-,3,JUNTA SECA
Máximus Lux Bianco,https://www.biancogres.com.br/produto/maximus-lux-bianco/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_MAXIMUSBIANCO_MILANOBIANCO_45X90-1.jpg,45x90,Monoporosa,Sim,Brilhante,Não,LA,-,V1,1,10.5,"1,5"
Metallo,https://www.biancogres.com.br/produto/metallo/,https://www.biancogres.com.br/wp-content/uploads/2019/03/F01_METALLO.jpg,53x106,Porcelanato Esmaltado,Sim,Acetinado,Sim,LD,2,V3,6,8,"1,5"
New York Grigio Touch,https://www.biancogres.com.br/produto/new-york-grigio-touch/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_NEW_YORK_GRIGIO_TOUCH_CAPRAIA_LUX_120X120.jpg,120x120,Porcelanato Esmaltado,Sim,Escovado,Não,LD,1,V3,9,10.3,2
Onix Bianco Lux,https://www.biancogres.com.br/produto/onix-bianco/,https://www.biancogres.com.br/wp-content/uploads/2018/09/PORCELANATO_BIANCOGRES_ONIX_BIANCO_90X90.jpg,120x120,Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,8,10.3,2
Origami Cemento,https://www.biancogres.com.br/produto/origami-cemento/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_ORIGAMI_CEMENTO_45X90.jpg,45x90,Monoporosa,Sim,Acetinado,Sim,LA,-,V2,4,10.5,"1,5"
Origami Bianco,https://www.biancogres.com.br/produto/origami-bianco/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_ORIGAMI_BIANCO_45X90.jpg,45x90,Monoporosa,Sim,Acetinado,Sim,LA,-,V1,1,10.5,"1,5"
Muira Caramello,https://www.biancogres.com.br/produto/muira-caramello/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_MUIRA_CARAMELLO_26X106-SITE.jpg,26x106,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,2,V3,18,7.44,"1,5"
Origami Legno,https://www.biancogres.com.br/produto/origami-legno/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_ORIGAMI_LEGNO_45X90-1024x1024.jpg,45x90,Monoporosa,Sim,Acetinado,Sim,LA,-,V2,6,10.5,"1,5"
Onix Bianco Satin,https://www.biancogres.com.br/produto/onix-satin/,https://www.biancogres.com.br/wp-content/uploads/2019/08/AMBIENTE_BIANCOGRES_ONIX_BIANCO_90X90.jpg,53x106,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,2,V3,16,8,1.5
New Grey,https://www.biancogres.com.br/produto/new-grey/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_NEW_GREY_82X82-SITE.jpg,82x82,Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,9,8,"1,5"
New Grey Tre-di,https://www.biancogres.com.br/produto/new-grey-tre-di/,https://www.biancogres.com.br/wp-content/uploads/2018/09/mosaico_biancogres_new_grey_tredi-1.jpg,30X30,Porcelanato Esmaltado,Sim,Polido,Sim,LA,-,V3,1,10,JUNTA SECA
Navona Tre-di,https://www.biancogres.com.br/produto/navona-tre-di/,https://www.biancogres.com.br/wp-content/uploads/2018/09/mosaico_biancogres_navona_tredi_30x30-1.jpg,30X30,Porcelanato Esmaltado,Sim,Acetinado,Sim,LA,-,V3,1,11,JUNTA SECA
Navona,https://www.biancogres.com.br/produto/navona/,https://www.biancogres.com.br/wp-content/uploads/2019/10/NAVONA-LINHA-NOBILE-1024x139.jpg,"18,7x122,7",Vinílico,Sim,Acetinado,Não,LC,-,V2,-,3,JUNTA SECA
Mureto Beige,https://www.biancogres.com.br/produto/mureto-beige/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_MURETO_BEIGE_E_CEMENTO_GRIGIO_AD4_60X60-SITE-1024x1024.jpg,60x60,Porcelanato Esmaltado,Sim,Acetinado,Sim,LA,-,V3,4,8.8,1.5
Nature Mix,https://www.biancogres.com.br/produto/nature-mix/,https://www.biancogres.com.br/wp-content/uploads/2019/03/03-Nature-Mix-Final.jpg,26x106,Porcelanato Esmaltado,Sim,Acetinado,Sim,LD,2,V3,18,"7,44","1,5"
Navas Grigio,https://www.biancogres.com.br/produto/navas-grigio/,https://www.biancogres.com.br/wp-content/uploads/2019/03/F7-NAVAS-GRIGIO.jpg,83x83,Porcelanato Esmaltado,Sim,Acetinado,Sim,LD,4,V4,8,8,"1,5"
Naviglio,https://www.biancogres.com.br/produto/naviglio/,https://www.biancogres.com.br/wp-content/uploads/2019/10/NAVIGLIO-LINHA-NOBILE-e1571061487400-1-1024x158.jpg,"18,7x122,7",Vinílico,Sim,Acetinado,Não,LC,-,V2,-,3,JUNTA SECA
Originale Beige,https://www.biancogres.com.br/produto/originale-beige/,https://www.biancogres.com.br/wp-content/uploads/2018/09/monoporosa_biancogres_originale_beige_32x60-1024x1852.jpg,32x60,Monoporosa,Sim,Acetinado,Não,LA,-,V1,1,8,1
Peroba,https://www.biancogres.com.br/produto/peroba/,https://www.biancogres.com.br/wp-content/uploads/2019/03/04-Peroba-Final.jpg,26x106,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,2,V3,12,"7,44","1,5"
Piani,https://www.biancogres.com.br/produto/piani/,https://www.biancogres.com.br/wp-content/uploads/2020/02/MONOPOROSA_BIANCOGRES_PIANI_45X90-1.jpg,45x90,Monoporosa,Sim,Acetinado,Sim,LA,-,V2,1,10.5,"1,5"
Murano,https://www.biancogres.com.br/produto/murano/,https://www.biancogres.com.br/wp-content/uploads/2019/10/Ambiente-Murano-1024x768.jpg,"18,7x122,7",Vinílico,Sim,Acetinado,Não,LC,-,V2,-,2,JUNTA SECA
Palazzo,https://www.biancogres.com.br/produto/palazzo/,https://www.biancogres.com.br/wp-content/uploads/2019/10/PALAZZO-LINHA-NOBILE-e1571063129540-1024x129.jpg,"18,7x122,7",Vinílico,Sim,Acetinado,Não,LC,-,V2,-,3,JUNTA SECA
Oxy Tre-di,https://www.biancogres.com.br/produto/oxy-tre-di/,https://www.biancogres.com.br/wp-content/uploads/2018/09/ambiente-oxy-tre-di-site-1024x1024.jpg,30X30,Porcelanato Esmaltado,Sim,Lapado,Sim,LA,-,V4,1,11,JUNTA SECA
Panda,https://www.biancogres.com.br/produto/panda/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_PANDA_527X105-1024x1024.jpg,"52,7x105",Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,16,8,1.5
Oxy,https://www.biancogres.com.br/produto/oxy/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_PORCELANATO_BIANCOGRES_OXY_SPEZZIA-1024x724.jpg,"52,7x105",Porcelanato Esmaltado,Sim,Lapado,Não,LD,2,V4,12,8,1.5
Oviedo Puro Branco,https://www.biancogres.com.br/produto/oviedo-puro-branco/,https://www.biancogres.com.br/wp-content/uploads/2018/09/monoporosa_biancogres_oviedo_puro_branco_33x61-1024x1852.jpg,33x61,Monoporosa,Não,Brilhante,Não,LA,-,V1,1,8,1.5
Oxford Grafite,https://www.biancogres.com.br/produto/oxford-grafite/,https://www.biancogres.com.br/wp-content/uploads/2019/11/BIANCOGRES-SUPERGRES-OXFORD-GRAFITE-60X60.jpg,60x60,Supergres,Não,Acetinado,Não,LD,2,V2,3,8.1,3
Oxford Deco,https://www.biancogres.com.br/produto/oxford-deco/,https://www.biancogres.com.br/wp-content/uploads/2018/09/biancogres_supergres_oxford_deco_60x60.jpg,60x60,Supergres,Não,Acetinado,Não,LD,2,V4,6,8.1,3
Oxford Grigio,https://www.biancogres.com.br/produto/oxford-grigio/,https://www.biancogres.com.br/wp-content/uploads/2018/09/biancogres_supergres_oxford_grigio_60x60.jpg,60x60,Supergres,Não,Acetinado,Não,LD,2,V2,3,8.1,3
Oviedo Puro Beige,https://www.biancogres.com.br/produto/oviedo-puro-beige/,https://www.biancogres.com.br/wp-content/uploads/2018/09/monoporosa_biancogres_oviedo_puro_beige_33x61-1024x1852.jpg,33x61,Monoporosa,Não,Brilhante,Não,LA,-,V1,1,8,1.5
Oxford Grafite AD4,https://www.biancogres.com.br/produto/oxford-grafite-ad4/,https://www.biancogres.com.br/wp-content/uploads/2019/11/BIANCOGRES-SUPERGRES-OXFORD-GRAFITE-60X60.jpg,60x60,Supergres,Não,Acetinado,Não,LD,4,V2,3,8.1,3
Oxford Avorio,https://www.biancogres.com.br/produto/oxford-avorio/,https://www.biancogres.com.br/wp-content/uploads/2018/09/biancogres_supergres_oxford_avorio_60x60.jpg,60x60,Supergres,Não,Acetinado,Não,LD,2,V2,,8.1,3
Originale Bianco,https://www.biancogres.com.br/produto/originale-bianco/,https://www.biancogres.com.br/wp-content/uploads/2018/09/monoporosa_biancogres_originale_bianco_32x60-1024x1852.jpg,32x60,Monoporosa,Sim,Acetinado,Não,LA,-,V1,1,8,1
Piani Cemento,https://www.biancogres.com.br/produto/piani-cemento/,https://www.biancogres.com.br/wp-content/uploads/2020/03/PIANI_CEMENTO_SITE.jpg,45x90,Monoporosa,Sim,Acetinado,Sim,LA,-,V2,1,10.5,"1,5"
Originale Nude,https://www.biancogres.com.br/produto/originale-nude/,https://www.biancogres.com.br/wp-content/uploads/2018/09/monoporosa_biancogres_originale_nude_32x60-1024x1920.jpg,32x60,Monoporosa,Sim,Acetinado,Não,LA,-,V1,1,8,1
Porta Santa,https://www.biancogres.com.br/produto/porta-santa/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_PORTA_SANTA_527X105-1.jpg,"52,7x105",Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V4,10,8,1.5
Prestige Beige,https://www.biancogres.com.br/produto/prestige-beige/,https://www.biancogres.com.br/wp-content/uploads/2018/09/porcelanato_biancogres_prestige_beige_60x60_rgb-1.jpg,60x60,Porcelanato Esmaltado,Sim,Brilhante,Não,LC,1,V3,6,8.8,"1,5"
Porfido Chiara AD4,https://www.biancogres.com.br/produto/porfido-chiara-ad4/,https://www.biancogres.com.br/wp-content/uploads/2019/11/BIANCOGRES-SUPERGRES-PORFIDO-CHIARA-AD4-60X60.jpg,60x60,Supergres,Não,Acetinado,Não,LD,4,V2,1,8.1,3
Pietra Platino,https://www.biancogres.com.br/produto/pietra-platino/,https://www.biancogres.com.br/wp-content/uploads/2019/10/PIETRA-PLATINO-LINHA-CITTA-SITE-1024x1023.jpg,90x90,Vinílico,Sim,Acetinado,Não,LD,-,V2,-,3,JUNTA SECA
Porfido Grigio AD4,https://www.biancogres.com.br/produto/porfido-grigio-ad4/,https://www.biancogres.com.br/wp-content/uploads/2019/11/BIANCOGRES-SUPERGRES-PORFIDO-GRIGIO-AD4-60X60-1-1024x1022.jpg,60x60,Supergres,Não,Acetinado,Não,LD,4,V2,1,8.1,3
Pietra Nicolau Castano,https://www.biancogres.com.br/produto/pietra-nicolau-castano/,https://www.biancogres.com.br/wp-content/uploads/2019/08/AMBIENTE_BIANCOGRES_PIETRA_NICOLAU_CASTANO_90X90-SITE-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Rústico,Sim,LE,4,V2,6,8,1.5
Pietra Nicolau,https://www.biancogres.com.br/produto/pietra-nicolau/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_PIETRA_NICOLAU_83X83_SITE-1024x1024.jpg,83x83,Porcelanato Esmaltado,Sim,Rústico,Sim,LD,4,V3,6,8,"1,5"
Pietra Lavica AD4,https://www.biancogres.com.br/produto/pietra-lavica-ad/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_PIETRA_LAVICA_AD_E_CEMENTO_VECHIO_RGB-1.jpg,53x106,Porcelanato Esmaltado,Sim,Rústico,Sim,LD,4,V3,6,8,1.5
Pietra Lavica,https://www.biancogres.com.br/produto/pietra-lavica/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_PIETRA_LAVICA_E_WALLPAPER_LAVICA_RGB-1024x1024.jpg,53x106,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,2,V3,6,8,1.5
Pietra di Tibur,https://www.biancogres.com.br/produto/pietra-di-tibur-2/,https://www.biancogres.com.br/wp-content/uploads/2018/12/F3_PIETRA-DI-TIBUR-1024x1024.jpg,83x83,Porcelanato Esmaltado,Sim,Rústico,Não,LE,4,V4,9,8,"1,5"
Pietra di Vesale Sabbia,https://www.biancogres.com.br/produto/pietra-di-vesale-sabbia/,https://www.biancogres.com.br/wp-content/uploads/2018/09/pietra_di_vesale_sabbia_60x60-1.jpg,60x60,Porcelanato Esmaltado,Sim,Rústico,Sim,LD,4,V3,9,8.8,"1,5"
Pietra Grafite,https://www.biancogres.com.br/produto/pietra-grafite/,https://www.biancogres.com.br/wp-content/uploads/2019/10/05-Lobby-Citta-Pietra-Grafite-1024x767.jpg,90x90,Vinílico,Sim,Acetinado,Não,LD,-,V2,-,3,JUNTA SECA
Pietra Di Maremma,https://www.biancogres.com.br/produto/pietra-di-maremma/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_PIETRA_DI_MAREMMA_53X106-1.jpg,53x106,Porcelanato Esmaltado,Sim,Rústico,Sim,LD,4,V3,7,8,1.5
Piemonte Beige,https://www.biancogres.com.br/produto/piemonte-beige/,https://www.biancogres.com.br/wp-content/uploads/2018/09/PORCELLANATO-PIEMONTE-BEIGE-BAIXA-1024x1029.jpg,60x60,Porcelanato Esmaltado,Sim,Acetinado,Não,LC,1,V2,3,8.8,3
Piemonte,https://www.biancogres.com.br/produto/piemonte/,https://www.biancogres.com.br/wp-content/uploads/2019/10/01-Massima-Piemonte-final-SITE-1024x379.jpg,"23,8x152",Vinílico,Sim,Acetinado,Não,LD,-,V2,-,3,JUNTA SECA
Pulpis Beige,https://www.biancogres.com.br/produto/pulpis-beige/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_PULPIS_BEIGE_62X62_STELLE_FENDI_33X58-SITE.jpg,62x62,Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,Lenço,8,"1,5"
Rig Legno,https://www.biancogres.com.br/produto/rig-legno-2/,https://www.biancogres.com.br/wp-content/uploads/2019/03/11-Rig-Legno-Final.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V2,6,8,1
Scala,https://www.biancogres.com.br/produto/scala/,https://www.biancogres.com.br/wp-content/uploads/2019/10/SCALA-LINHA-MASSIMA-SITE-1024x203.jpg,"23,8x152",Vinílico,Sim,Acetinado,Não,LD,-,V2,-,3,JUNTA SECA
Rig Legno,https://www.biancogres.com.br/produto/rig-legno/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_RIGLEGNO_45X90.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V2,6,8,1
Rig Sense,https://www.biancogres.com.br/produto/rig-sense/,https://www.biancogres.com.br/wp-content/uploads/2018/09/F1_RIG-SENSE_2019_N03Ai-1024x542.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V2,6,8,1
Rig Bianco,https://www.biancogres.com.br/produto/rig-bianco-2/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_RIG_BIANCO_32X60_SITE-1024x1024.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V1,1,8,1
Retangulus Cemento,https://www.biancogres.com.br/produto/retangulus-cemento/,https://www.biancogres.com.br/wp-content/uploads/2019/05/8.-Retangulus-Cemento.jpg,30X30,Porcelanato Esmaltado,Não,Acetinado,Não,LD,-,V2,1,"7,8",3
Quadro Vanilla,https://www.biancogres.com.br/produto/quadro-vanilla/,https://www.biancogres.com.br/wp-content/uploads/2019/05/QUADRO-VANILLA.jpg,30X30,Porcelanato Esmaltado,Não,Acetinado,Não,LD,-,V3,1,"7,8",3
Rig Bianco,https://www.biancogres.com.br/produto/rig-bianco/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_RIG_BIANCO_32X60_SITE-1024x1024.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V1,1,8,1
