nome,url,imagem,formato,categoria,acabamento,relevo,classe_ad,variacao_tonalidade,n_faces,espessura,junta,m2_caixa,pecas_caixa
Cemento Vechio,https://www.biancogres.com.br/produto/cemento-vechio/,https://www.biancogres.com.br/wp-content/uploads/2018/09/PORCELANATO_BIANCOGRES_CEMENTO_VECCHIO_BLU_20X20.jpg,20X20,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,1,V4,4,"7,8",1
Cemento Grigio,https://www.biancogres.com.br/produto/cemento-grigio/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMB.-BIANCOGRES-PORC.-CEMENTO-HIDRAULICO-20X20-CEMENTO-GRGIO-53X106_.jpg,53x106,Porcelanato Esmaltado,Sim,Acetinado,Não,LE,2,V3,8,8,"1,5"
Cemento Grafite⠀⠀⠀,https://www.biancogres.com.br/produto/cemento-grafite%e2%a0%80%e2%a0%80%e2%a0%80/,https://www.biancogres.com.br/wp-content/uploads/2019/10/CEMENTO-GRAFITE-LINHA-CITTA-SITE-1024x1024.jpg,90x90,Vinílico,Sim,Acetinado,Não,LD,-,V2,-,3,JUNTA SECA
Dubrá,https://www.biancogres.com.br/produto/dubra/,https://www.biancogres.com.br/wp-content/uploads/2020/02/MONOPOROSA_DUBRA_2_45X90_SITE-1.jpg,45x90,Monoporosa,Sim,Acetinado,Sim,LA,-,V2,1,10.5,"1,5"
Classic Branco,https://www.biancogres.com.br/produto/classic-branco-2/,https://www.biancogres.com.br/wp-content/uploads/2019/12/MONOPOROSA_BIANCOGRES_CLASSIC_BRANCO_33X61-site.jpg,60x60,Supergres,Não,Acetinado,Não,LC,2,V1,1,8.1,3
Deck Legno Maso,https://www.biancogres.com.br/produto/deck-legno-maso/,https://www.biancogres.com.br/wp-content/uploads/2018/09/DECK_LEGNO_MASO_F2.jpg,60x60,Porcelanato Esmaltado,Sim,Rústico,Sim,LD,4,V4,5,8.8,"1,5"
Dahino Beige Lux,https://www.biancogres.com.br/produto/dahino-beige-lux/,https://www.biancogres.com.br/wp-content/uploads/2018/09/ambiente-SITE.jpg,"52,7x105",Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,8,8,1.5
Dubrá Beige,https://www.biancogres.com.br/produto/dubra-beige/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_DUBRA_BEIGE_45X90-1024x641.jpg,45x90,Monoporosa,Sim,Acetinado,Sim,LA,-,V2,1,10.5,"1,5"
Deck Eko Caramello,https://www.biancogres.com.br/produto/deck-eko-caramello/,https://www.biancogres.com.br/wp-content/uploads/2018/09/biancogres_deck_eko_caramello_52x52.jpg,60x60,Supergres,Não,Rústico,Sim,LD,4,V3,6,8.1,3
Cristallo Lux Bianco,https://www.biancogres.com.br/produto/cristallo-lux-bianco/,https://www.biancogres.com.br/wp-content/uploads/2018/09/PORCELANATO_BIANCOGRES-CRISTALLO_BIANCO_53X106_-1-1024x512.jpg,"52,7x105",Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V1,1,8,1.5
Cristallo Nude,https://www.biancogres.com.br/produto/cristallo-nude/,https://www.biancogres.com.br/wp-content/uploads/2019/08/PORCELANATO_BIANCOGRES-CRISTALLO_NUDE_53X106-1024x512.jpg,60x60,Porcelanato Esmaltado,Sim,Acetinado,Não,LC,2,V1,1,8.8,1.5
Concrete,https://www.biancogres.com.br/produto/concrete/,https://www.biancogres.com.br/wp-content/uploads/2020/02/AMBIENTE_BIANCOGRES_CONCRETE_53X106_METROPOLI_NATURALE_90X90ALTA.jpg,53x106,Porcelanato Esmaltado,Sim,Acetinado,Não,LE,2,V3,8,8,1.5
Cristallo Bianco,https://www.biancogres.com.br/produto/cristallo-bianco/,https://www.biancogres.com.br/wp-content/uploads/2018/09/PORCELANATO_BIANCOGRES-CRISTALLO_BIANCO_53X106_-1-1024x512.jpg,53x106,Porcelanato Esmaltado,Sim,Acetinado,Não,LC,1,V1,1,8,1.5
Connection Silver AD4,https://www.biancogres.com.br/produto/connection-silver-ad4/,https://www.biancogres.com.br/wp-content/uploads/2019/03/porcelanato_biancogres_connection_silver_AD4_120x120.jpg,120x120,Porcelanato Esmaltado,Sim,Acetinado,Não,LE,4,V2,7,12,2
Connection Silver,https://www.biancogres.com.br/produto/connection-silver/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE03_SPEZIAGRIGIO_CONNECTIONSILVER120X120_HD.jpg,120x120,Porcelanato Esmaltado,Sim,Acetinado,Não,LE,2,V2,7,12,2
Cotton Bianco,https://www.biancogres.com.br/produto/cotton-bianco/,https://www.biancogres.com.br/wp-content/uploads/2020/03/AMBIENTE_BIANCOGRES_QUANTUM_BIANCO_E_COTTON_BIANCO_45X90_site-1024x435.jpg,45x90,Monoporosa,Sim,Acetinado,Não,LA,-,V1,1,10.5,"1,5"
Colonna,https://www.biancogres.com.br/produto/colonna/,https://www.biancogres.com.br/wp-content/uploads/2019/10/COLONNA-LINHA-VITA-1-1024x148.jpg,"18,7x122,7",Vinílico,Sim,Acetinado,Não,LC,-,V2,-,2,JUNTA SECA
Cotton Lux Bianco,https://www.biancogres.com.br/produto/cotton-lux-bianco/,https://www.biancogres.com.br/wp-content/uploads/2020/02/PORCELANATO_BIANCOGRES_MAXIMUS_BIANCO_45X90-e1583340034524-1024x512.jpg,32x60,Monoporosa,Sim,Brilhante,Não,LA,-,V1,1,9,1
Cristallo Beige,https://www.biancogres.com.br/produto/cristallo-beige/,https://www.biancogres.com.br/wp-content/uploads/2018/09/porcelanato_biancogres_cristallo_beige_60x60-1.jpg,60x60,Porcelanato Esmaltado,Sim,Acetinado,,LC,2,V1,1,8.8,"1,5"
Grigio Veneziano,https://www.biancogres.com.br/produto/grigio-veneziano/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_GRIGIO_VENEZIANO_RGB-SITE-1024x1024.jpg,62x62,Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,9,8,"1,5"
Duomo,https://www.biancogres.com.br/produto/duomo/,https://www.biancogres.com.br/wp-content/uploads/2019/10/DUOMO-LINHA-VITA-e1570823879943-1024x128.jpg,"18,7x122,7",Vinílico,Sim,Acetinado,Não,LC,-,V2,-,2,JUNTA SECA
Giardino,https://www.biancogres.com.br/produto/giardino/,https://www.biancogres.com.br/wp-content/uploads/2018/12/GIARDINO_F1_AC3.jpg,60x60,Porcelanato Esmaltado,Sim,Rústico,Não,LE,4,V3,7,8.8,"1,5"
Golden Beige Lux,https://www.biancogres.com.br/produto/golden-beige/,https://www.biancogres.com.br/wp-content/uploads/2019/08/AMBIENTE_BIANCOGRES_GOLDEN_BEIGE_E_GOLDEN_BEIGE_SATIN_90X90-SITE-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,8,8,1.5
Golden Beige Satin,https://www.biancogres.com.br/produto/golden-beige-satin/,https://www.biancogres.com.br/wp-content/uploads/2019/08/AMBIENTE_BIANCOGRES_GOLDEN_BEIGE_E_GOLDEN_BEIGE_SATIN_90X90-SITE-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,2,V3,8,8,1.5
Geometric Bianco,https://www.biancogres.com.br/produto/geometric-bianco/,https://www.biancogres.com.br/wp-content/uploads/2020/03/AMBIENTE_BIANCOGRES_GEOMETRIC_BIANCO_32X60_ALTA-1024x433.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V1,1,8,1
Geometric Fendi,https://www.biancogres.com.br/produto/geometric-fendi/,https://www.biancogres.com.br/wp-content/uploads/2020/03/BIANCOGRES-GEOMETRIC-FENDI-32X60-1-1024x546.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V1,1,8,1
Galeria Terrazzo,https://www.biancogres.com.br/produto/galeria-terrazzo/,https://www.biancogres.com.br/wp-content/uploads/2018/09/MOSAICO_BIANCOGRES_GALLERIA_TERRAZO_TREDI_30X30.jpg,30X30,Porcelanato Esmaltado,Sim,Acetinado,Sim,LA,-,V3,1,"10,5",JUNTA SECA
Geo Nude,https://www.biancogres.com.br/produto/geo-nude/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_GEO_NUDE-1024x434.jpg,32x60,Monoporosa,Sim,Brilhante,Sim,LA,-,V1,1,8,1
Forme Nude,https://www.biancogres.com.br/produto/forme-nude/,https://www.biancogres.com.br/wp-content/uploads/2019/08/PORCELANATO_BIANCOGRES_FORME_NUDE-site-1024x512.jpg,53x106,Porcelanato Esmaltado,Sim,Acetinado,Sim,LA,-,V1,1,8,"1,5"
Forme Bianco,https://www.biancogres.com.br/produto/forme-bianco/,https://www.biancogres.com.br/wp-content/uploads/2019/03/AMBIENTE13_SIAN82X82_FORMEBIANCO53X106_HD-1.jpg,53x106,Porcelanato Esmaltado,Sim,Acetinado,Sim,LA,-,V1,1,8,"1,5"
Fiori Bianco,https://www.biancogres.com.br/produto/fiori-bianco/,https://www.biancogres.com.br/wp-content/uploads/2019/03/AMBIENTE-BIANCOGRES-FIORI-BIANCO-32X60-site.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V1,1,8,1
Duomo Chicago,https://www.biancogres.com.br/produto/duomo-chicago/,https://www.biancogres.com.br/wp-content/uploads/2018/09/MOSAICO_BIANCOGRES_DUOMO_CHICAGO_TREDI_26X26.jpg,26x26,Porcelanato Esmaltado,Sim,Acetinado,Não,LA,-,V3,1,12,JUNTA SECA
Ecclesia City,https://www.biancogres.com.br/produto/ecclesia-city/,https://www.biancogres.com.br/wp-content/uploads/2018/09/MOSAICO_BIANCOGRES_ECCLESIA_CITY_30X30.jpg,30X30,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,-,V4,1,10,1.5
Firenze Satin,https://www.biancogres.com.br/produto/firenze-satin/,https://www.biancogres.com.br/wp-content/uploads/2019/11/BIANCOGRES-SUPERGRES-FIRENZE-SATIN-60X60.jpg,60x60,Supergres,Não,Acetinado,Não,LD,1,V3,8,8.1,3
Kit Flor de Lotus,https://www.biancogres.com.br/produto/kit-flor-de-lotus/,https://www.biancogres.com.br/wp-content/uploads/2018/09/acessorio_biancogres_fiori_di_lotus_21x21.jpg,20X20,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,2,V2,1,"7,8",1
Fiori Fendi,https://www.biancogres.com.br/produto/fiori-fendi-2/,https://www.biancogres.com.br/wp-content/uploads/2019/03/07-Fiori-Final.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V1,1,8,1
Grafito,https://www.biancogres.com.br/produto/kit-grafito/,https://www.biancogres.com.br/wp-content/uploads/2019/03/GRAFITO-2-face1.jpg,30X30,Porcelanato Esmaltado,Não,Acetinado,Não,LD,-,V4,4,"7,8",1
Kit Maso Fiori,https://www.biancogres.com.br/produto/kit-maso-fiori/,https://www.biancogres.com.br/wp-content/uploads/2018/09/MOSAICO_BIANCOGRES__MASO_FIORI.jpg,"10X53 / 17,5X53 / 7X53",Porcelanato Esmaltado,Sim,Acetinado,Sim,LD,-,V4,5,"8,8",2
Kit Cemento Hidráulico,https://www.biancogres.com.br/produto/kit-cemento-hidraulico/,https://www.biancogres.com.br/wp-content/uploads/2018/09/porcelanato_biancogres_cemento_hidraulico_kit_9-1.jpg,20X20,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,2,V4,9,"7,8",1
Infinity Black,https://www.biancogres.com.br/produto/infinity-black/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_INFINITY_BLACK_53X105_SITE.jpg,"52,7x105",Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,13,8,1.5
Kit City,https://www.biancogres.com.br/produto/kit-city/,https://www.biancogres.com.br/wp-content/uploads/2018/09/KIT_CITY-1024x1024.jpg,20X20,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,-,V4,4,"7,8",1
Kit Bosco Hidráulico,https://www.biancogres.com.br/produto/kit-bosco-hidraulico/,https://www.biancogres.com.br/wp-content/uploads/2018/09/porcelanato_biancogres_bosco_hidraulico_kit_8-1.jpg,26x26,Porcelanato Esmaltado,Sim,Acetinado,Sim,LD,4,V4,8,,1
Amazon,https://www.biancogres.com.br/produto/kit-amazon/,https://www.biancogres.com.br/wp-content/uploads/2019/03/AMBIENTE_BIANCOGRES_NATURE_MIX_26X106-site-1024x987.jpg,30X30,Porcelanato Esmaltado,Não,Acetinado,Não,LD,-,V4,4,"7,8",1
Imperiale Satin,https://www.biancogres.com.br/produto/imperiale-satin/,https://www.biancogres.com.br/wp-content/uploads/2019/07/PORCELANATO_BIANCOGRES_IMPERIALE_LUX_62X62_SITE.jpg,60x60,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,1,V1,10,8.8,1.5
